Id,y
10000,-66.00242349023137
10001,451.40650440115496
10002,-461.6764170602991
10003,40.501208753723255
10004,-126.74472245403693
10005,-342.53455181925096
10006,-396.5555421135893
10007,335.54127907908753
10008,-99.51242087062352
10009,304.812539806276
10010,68.89453048978547
10011,412.3691954559072
10012,54.942371024768
10013,-17.005550754779705
10014,-597.8499575722612
10015,443.502288786415
10016,144.77448697804334
10017,-57.41116367253659
10018,134.3878275774606
10019,-108.9837759891086
10020,153.82482842506687
10021,611.7359836022023
10022,588.3896503384218
10023,-131.01679995801985
10024,-61.13562114122956
10025,-374.24849531697265
10026,74.1579930796539
10027,137.4383787361044
10028,420.0866117967905
10029,196.76562571344266
10030,268.4428498005316
10031,638.4749102511089
10032,127.3787313869198
10033,1.349118758399928
10034,22.710453177408034
10035,342.23953452256467
10036,307.7039669741719
10037,348.1382087009399
10038,-168.65286130735444
10039,-20.22113090461716
10040,-551.7499275731114
10041,-429.9718040667403
10042,261.89195870674405
10043,389.8204261292213
10044,-96.16562227356552
10045,-210.71080125632417
10046,278.8818687840112
10047,-427.4533010310492
10048,-172.90325291756716
10049,467.26437835578577
10050,-631.5587355874388
10051,-355.53165933817843
10052,143.17327553860392
10053,69.19920259894212
10054,275.5882739767254
10055,-263.1886122041023
10056,167.49830723241254
10057,104.57789589014259
10058,230.07008661007558
10059,20.988026644576664
10060,-4.822581262501448
10061,-201.92294081063727
10062,560.06392656577
10063,55.28847625244905
10064,671.3015746918346
10065,-493.7487382852286
10066,-279.353036732592
10067,-53.71252761314787
10068,379.69819550097554
10069,315.0714108579814
10070,169.1300173261432
10071,-271.5993032690113
10072,783.8022226750342
10073,44.57731151554855
10074,57.40678005457723
10075,-161.07827414306803
10076,-220.66957847885737
10077,223.2412944292919
10078,352.66559554375425
10079,13.163291366265693
10080,-461.9941469857306
10081,305.37214669142344
10082,-230.59656173861126
10083,359.0744432425441
10084,-430.26056337592127
10085,-115.54882205546183
10086,-88.96006387867367
